"indicator_name","column_name"
"Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","merchandise_imports_from_low_middle_income_economies_europe_ce"
"Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","merchandise_imports_from_low_middle_income_economies_latin_ame"
"Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)","merchandise_imports_from_low_middle_income_economies_middle_ea"
"Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","merchandise_imports_from_low_middle_income_economies_south_asi"
"Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","merchandise_imports_from_low_middle_income_economies_sub_sahar"
"Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","merchandise_imports_from_low_middle_income_economies_outside_r"
"Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)","merchandise_imports_from_low_middle_income_economies_within_re"
"Merchandise trade (% of GDP)","merchandise_trade_pct_of_gdp"
"Military expenditure (current USD)","military_expenditure_current_usd"
"Mortality rate, adult, female (per 1,000 female adults)","mortality_rate_adult_female_per_1000_female_adults"
"Mortality rate, adult, male (per 1,000 male adults)","mortality_rate_adult_male_per_1000_male_adults"
"Net migration","net_migration"
"Permanent cropland (% of land area)","permanent_cropland_pct_of_land_area"
"Population ages 00-04, female (% of female population)","population_ages_00_04_female_pct_of_female_population"
"Population ages 00-04, male (% of male population)","population_ages_00_04_male_pct_of_male_population"
"Population ages 0-14 (% of total population)","population_ages_0_14_pct_of_total_population"
"Population ages 0-14, female","population_ages_0_14_female"
"Population ages 0-14, female (% of female population)","population_ages_0_14_female_pct_of_female_population"
"Population ages 0-14, male","population_ages_0_14_male"
"Population ages 0-14, male (% of male population)","population_ages_0_14_male_pct_of_male_population"
"Population ages 0-14, total","population_ages_0_14_total"
"Population ages 05-09, female (% of female population)","population_ages_05_09_female_pct_of_female_population"
"Population ages 05-09, male (% of male population)","population_ages_05_09_male_pct_of_male_population"
"Population ages 10-14, female (% of female population)","population_ages_10_14_female_pct_of_female_population"
"Population ages 10-14, male (% of male population)","population_ages_10_14_male_pct_of_male_population"
"Population ages 15-19, female (% of female population)","population_ages_15_19_female_pct_of_female_population"
"Population ages 15-19, male (% of male population)","population_ages_15_19_male_pct_of_male_population"
"Population ages 15-64 (% of total population)","population_ages_15_64_pct_of_total_population"
"Population ages 15-64, female","population_ages_15_64_female"
"Population ages 15-64, female (% of female population)","population_ages_15_64_female_pct_of_female_population"
"Population ages 15-64, male","population_ages_15_64_male"
"Population ages 15-64, male (% of male population)","population_ages_15_64_male_pct_of_male_population"
"Population ages 15-64, total","population_ages_15_64_total"
"Population ages 20-24, female (% of female population)","population_ages_20_24_female_pct_of_female_population"
"Population ages 20-24, male (% of male population)","population_ages_20_24_male_pct_of_male_population"
"Population ages 25-29, female (% of female population)","population_ages_25_29_female_pct_of_female_population"
"Population ages 25-29, male (% of male population)","population_ages_25_29_male_pct_of_male_population"
"Population ages 30-34, female (% of female population)","population_ages_30_34_female_pct_of_female_population"
"Population ages 30-34, male (% of male population)","population_ages_30_34_male_pct_of_male_population"
"Population ages 35-39, female (% of female population)","population_ages_35_39_female_pct_of_female_population"
"Population ages 35-39, male (% of male population)","population_ages_35_39_male_pct_of_male_population"
"Population ages 40-44, female (% of female population)","population_ages_40_44_female_pct_of_female_population"
"Population ages 40-44, male (% of male population)","population_ages_40_44_male_pct_of_male_population"
"Population ages 45-49, female (% of female population)","population_ages_45_49_female_pct_of_female_population"
"Population ages 45-49, male (% of male population)","population_ages_45_49_male_pct_of_male_population"
"Population ages 50-54, female (% of female population)","population_ages_50_54_female_pct_of_female_population"
"Population ages 50-54, male (% of male population)","population_ages_50_54_male_pct_of_male_population"
"Population ages 55-59, female (% of female population)","population_ages_55_59_female_pct_of_female_population"
"Population ages 55-59, male (% of male population)","population_ages_55_59_male_pct_of_male_population"
"Population ages 60-64, female (% of female population)","population_ages_60_64_female_pct_of_female_population"
"Population ages 60-64, male (% of male population)","population_ages_60_64_male_pct_of_male_population"
"Population ages 65 and above (% of total population)","population_ages_65_and_above_pct_of_total_population"
"Population ages 65 and above, female","population_ages_65_and_above_female"
"Population ages 65 and above, female (% of female population)","population_ages_65_and_above_female_pct_of_female_population"
"Population ages 65 and above, male","population_ages_65_and_above_male"
"Population ages 65 and above, male (% of male population)","population_ages_65_and_above_male_pct_of_male_population"
"Population ages 65 and above, total","population_ages_65_and_above_total"
"Population ages 65-69, female (% of female population)","population_ages_65_69_female_pct_of_female_population"
"Population ages 65-69, male (% of male population)","population_ages_65_69_male_pct_of_male_population"
"Population ages 70-74, female (% of female population)","population_ages_70_74_female_pct_of_female_population"
"Population ages 70-74, male (% of male population)","population_ages_70_74_male_pct_of_male_population"
"Population ages 75-79, female (% of female population)","population_ages_75_79_female_pct_of_female_population"
"Population ages 75-79, male (% of male population)","population_ages_75_79_male_pct_of_male_population"
"Population ages 80 and above, female (% of female population)","population_ages_80_and_above_female_pct_of_female_population"
"Population ages 80 and above, male (% of male population)","population_ages_80_and_above_male_pct_of_male_population"
"Population density (people per sq. km of land area)","population_density_people_per_sq_km_of_land_area"
"Population growth (annual %)","population_growth_annual_pct"
"Population in the largest city (% of urban population)","population_in_the_largest_city_pct_of_urban_population"
"Population in urban agglomerations of more than 1 million (% of total population)","population_in_urban_agglomerations_of_more_than_1_million_pct"
"Population, female","population_female"
"Population, female (% of total population)","population_female_pct_of_total_population"
"Population, male","population_male"
"Population, male (% of total population)","population_male_pct_of_total_population"
"Population, total","population_total"
"Portfolio equity, net inflows (BoP, current US$)","portfolio_equity_net_inflows_bop_current_us"
"Refugees under the mandate of the UNHCR by country or territory of asylum","refugees_under_mandate_of_unhcr_by_country_or_territory_of_as"
"Refugees under the mandate of the UNHCR by country or territory of origin","refugees_under_mandate_of_unhcr_by_country_or_territory_of_or"
"Renewable internal freshwater resources per capita (cubic meters)","renewable_internal_freshwater_resources_per_capita_cubic_meter"
"Renewable internal freshwater resources, total (billion cubic meters)","renewable_internal_freshwater_resources_total_billion_cubic_me"
"Rural population","rural_population"
"Rural population (% of total population)","rural_population_pct_of_total_population"
"Rural population growth (annual %)","rural_population_growth_annual_pct"
"Sex ratio at birth (male births per female births)","sex_ratio_at_birth_male_births_per_female_births"
"Surface area (sq. km)","surface_area_sq_km"
"Survival to age 65, female (% of cohort)","survival_to_age_65_female_pct_of_cohort"
"Survival to age 65, male (% of cohort)","survival_to_age_65_male_pct_of_cohort"
"Total fisheries production (metric tons)","total_fisheries_production_metric_tons"
"Total reserves in months of imports","total_reserves_in_months_of_imports"
"Urban population","urban_population"
"Urban population (% of total population)","urban_population_pct_of_total_population"
"Urban population growth (annual %)","urban_population_growth_annual_pct"
"Agricultural raw materials exports (% of merchandise exports)","agricultural_raw_materials_exports_pct_of_merchandise_exports"
"Agricultural raw materials imports (% of merchandise imports)","agricultural_raw_materials_imports_pct_of_merchandise_imports"
"Broad money (% of GDP)","broad_money_pct_of_gdp"
"Claims on central government, etc. (% GDP)","claims_on_central_government_etc_pct_gdp"
"Domestic credit to private sector (% of GDP)","domestic_credit_to_private_sector_pct_of_gdp"
"Domestic credit to private sector by banks (% of GDP)","domestic_credit_to_private_sector_by_banks_pct_of_gdp"
"Food exports (% of merchandise exports)","food_exports_pct_of_merchandise_exports"
"Food imports (% of merchandise imports)","food_imports_pct_of_merchandise_imports"
"Fuel exports (% of merchandise exports)","fuel_exports_pct_of_merchandise_exports"
"Fuel imports (% of merchandise imports)","fuel_imports_pct_of_merchandise_imports"
"Manufactures exports (% of merchandise exports)","manufactures_exports_pct_of_merchandise_exports"
"Manufactures imports (% of merchandise imports)","manufactures_imports_pct_of_merchandise_imports"
"Military expenditure (% of GDP)","military_expenditure_pct_of_gdp"
"Monetary Sector credit to private sector (% GDP)","monetary_sector_credit_to_private_sector_pct_gdp"
"Ores and metals exports (% of merchandise exports)","ores_and_metals_exports_pct_of_merchandise_exports"
"Ores and metals imports (% of merchandise imports)","ores_and_metals_imports_pct_of_merchandise_imports"
"Arms exports (SIPRI trend indicator values)","arms_exports_sipri_trend_indicator_values"
"Refugees under the mandate of the UNRWA by country or territory of asylum","refugees_under_mandate_of_unrwa_by_country_or_territory_of_as"
"Refugees under the mandate of the UNRWA by country or territory of origin","refugees_under_mandate_of_unrwa_by_country_or_territory_of_or"
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","water_productivity_total_constant_2015_us_gdp_per_cubic_meter"
"Electricity production from coal sources (% of total)","electricity_production_from_coal_sources_pct_of_total"
"Electricity production from hydroelectric sources (% of total)","electricity_production_from_hydroelectric_sources_pct_of_total"
"Electricity production from natural gas sources (% of total)","electricity_production_from_natural_gas_sources_pct_of_total"
"Electricity production from nuclear sources (% of total)","electricity_production_from_nuclear_sources_pct_of_total"
"Electricity production from oil sources (% of total)","electricity_production_from_oil_sources_pct_of_total"
"Electricity production from oil, gas and coal sources (% of total)","electricity_production_from_oil_gas_and_coal_sources_pct_of_to"
"Electricity production from renewable sources, excluding hydroelectric (% of total)","electricity_production_from_renewable_sources_excluding_hydroe_t"
"Electricity production from renewable sources, excluding hydroelectric (kWh)","electricity_production_from_renewable_sources_excluding_hydroe"
"Renewable electricity output (% of total electricity output)","renewable_electricity_output_pct_of_total_electricity_output"
"Agriculture, forestry, and fishing, value added (annual % growth)","agriculture_forestry_and_fishing_value_added_annual_pct_growth"
"Agriculture, forestry, and fishing, value added (constant 2015 US$)","agriculture_forestry_and_fishing_value_added_constant_2015_us"
"Exports of goods and services (% of GDP)","exports_of_goods_and_services_pct_of_gdp"
"Exports of goods and services (annual % growth)","exports_of_goods_and_services_annual_pct_growth"
"Exports of goods and services (constant 2015 US$)","exports_of_goods_and_services_constant_2015_us"
"Exports of goods and services (current US$)","exports_of_goods_and_services_current_us"
"External balance on goods and services (% of GDP)","external_balance_on_goods_and_services_pct_of_gdp"
"Final consumption expenditure (annual % growth)","final_consumption_expenditure_annual_pct_growth"
"Final consumption expenditure (constant 2015 US$)","final_consumption_expenditure_constant_2015_us"
"Final consumption expenditure (current US$)","final_consumption_expenditure_current_us"
"Gross capital formation (% of GDP)","gross_capital_formation_pct_of_gdp"
"Gross capital formation (annual % growth)","gross_capital_formation_annual_pct_growth"
"Gross capital formation (constant 2015 US$)","gross_capital_formation_constant_2015_us"
"Gross capital formation (current US$)","gross_capital_formation_current_us"
"Gross domestic savings (% of GDP)","gross_domestic_savings_pct_of_gdp"
"Gross domestic savings (current US$)","gross_domestic_savings_current_us"
"Gross national expenditure (constant 2015 US$)","gross_national_expenditure_constant_2015_us"
"Gross national expenditure (current US$)","gross_national_expenditure_current_us"
"Households and NPISHs final consumption expenditure (% of GDP)","households_and_npishs_final_consumption_expenditure_pct_of_gdp"
"Households and NPISHs Final consumption expenditure (annual % growth)","households_and_npishs_final_consumption_expenditure_annual_pct"
"Households and NPISHs Final consumption expenditure (constant 2015 US$)","households_and_npishs_final_consumption_expenditure_constant_20"
"Households and NPISHs Final consumption expenditure (current US$)","households_and_npishs_final_consumption_expenditure_current_us"
"Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","households_and_npishs_final_consumption_expenditure_per_capita_1"
"Households and NPISHs Final consumption expenditure per capita growth (annual %)","households_and_npishs_final_consumption_expenditure_per_capita_2"
"Imports of goods and services (% of GDP)","imports_of_goods_and_services_pct_of_gdp"
"Imports of goods and services (annual % growth)","imports_of_goods_and_services_annual_pct_growth"
"Imports of goods and services (constant 2015 US$)","imports_of_goods_and_services_constant_2015_us"
"Imports of goods and services (current US$)","imports_of_goods_and_services_current_us"
"Trade (% of GDP)","trade_pct_of_gdp"
"Agriculture, forestry, and fishing, value added (% of GDP)","agriculture_forestry_and_fishing_value_added_pct_of_gdp"
"Agriculture, forestry, and fishing, value added (current US$)","agriculture_forestry_and_fishing_value_added_current_us"
"Gross fixed capital formation (% of GDP)","gross_fixed_capital_formation_pct_of_gdp"
"Gross fixed capital formation (current US$)","gross_fixed_capital_formation_current_us"
"Industry (including construction), value added (% of GDP)","industry_including_construction_value_added_pct_of_gdp"
"Industry (including construction), value added (annual % growth)","industry_including_construction_value_added_annual_pct_growth"
"Industry (including construction), value added (constant 2015 US$)","industry_including_construction_value_added_constant_2015_us"
"Industry (including construction), value added (current US$)","industry_including_construction_value_added_current_us"
"Net bilateral aid flows from DAC donors, Austria (current US$)","net_bilateral_aid_flows_from_dac_donors_austria_current_us"
"Net bilateral aid flows from DAC donors, Belgium (current US$)","net_bilateral_aid_flows_from_dac_donors_belgium_current_us"
"Net bilateral aid flows from DAC donors, Canada (current US$)","net_bilateral_aid_flows_from_dac_donors_canada_current_us"
"Net bilateral aid flows from DAC donors, Denmark (current US$)","net_bilateral_aid_flows_from_dac_donors_denmark_current_us"
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)","net_bilateral_aid_flows_from_dac_donors_european_union_instit"
"Net bilateral aid flows from DAC donors, France (current US$)","net_bilateral_aid_flows_from_dac_donors_france_current_us"
"Net bilateral aid flows from DAC donors, Germany (current US$)","net_bilateral_aid_flows_from_dac_donors_germany_current_us"
"Net bilateral aid flows from DAC donors, Iceland (current US$)","net_bilateral_aid_flows_from_dac_donors_iceland_current_us"
"Net bilateral aid flows from DAC donors, Italy (current US$)","net_bilateral_aid_flows_from_dac_donors_italy_current_us"
"Net bilateral aid flows from DAC donors, Japan (current US$)","net_bilateral_aid_flows_from_dac_donors_japan_current_us"
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)","net_bilateral_aid_flows_from_dac_donors_korea_rep_current_us"
"Net bilateral aid flows from DAC donors, Netherlands (current US$)","net_bilateral_aid_flows_from_dac_donors_netherlands_current_us"
"Net bilateral aid flows from DAC donors, Norway (current US$)","net_bilateral_aid_flows_from_dac_donors_norway_current_us"
"Net bilateral aid flows from DAC donors, Sweden (current US$)","net_bilateral_aid_flows_from_dac_donors_sweden_current_us"
"Net bilateral aid flows from DAC donors, Switzerland (current US$)","net_bilateral_aid_flows_from_dac_donors_switzerland_current_us"
"Net bilateral aid flows from DAC donors, Total (current US$)","net_bilateral_aid_flows_from_dac_donors_total_current_us"
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)","net_bilateral_aid_flows_from_dac_donors_united_kingdom_current"
"Net bilateral aid flows from DAC donors, United States (current US$)","net_bilateral_aid_flows_from_dac_donors_united_states_current_"
"Net ODA received (% of GNI)","net_oda_received_pct_of_gni"
"Net ODA received (% of gross capital formation)","net_oda_received_pct_of_gross_capital_formation"
"Net ODA received per capita (current US$)","net_oda_received_per_capita_current_us"
"Net official development assistance and official aid received (constant 2021 US$)","net_official_development_assistance_and_official_aid_received_"
"Net official development assistance and official aid received (current US$)","net_official_development_assistance_and_official_aid_received"
"Net official development assistance received (constant 2021 US$)","net_official_development_assistance_received_constant_2021_us"
"Net official development assistance received (current US$)","net_official_development_assistance_received_current_us"
"Services, value added (% of GDP)","services_value_added_pct_of_gdp"
"Services, value added (current US$)","services_value_added_current_us"
"Electric power consumption (kWh per capita)","electric_power_consumption_kwh_per_capita"
"Energy use (kg of oil equivalent per capita)","energy_use_kg_of_oil_equivalent_per_capita"
"Inflation, consumer prices (annual %)","inflation_consumer_prices_annual_pct"
"General government final consumption expenditure (annual % growth)","general_government_final_consumption_expenditure_annual_pct_g"
"General government final consumption expenditure (constant 2015 US$)","general_government_final_consumption_expenditure_constant_2015"
"Domestic credit provided by financial sector (% of GDP)","domestic_credit_provided_by_financial_sector_pct_of_gdp"
"Employment to population ratio, 15+, female (%) (national estimate)","employment_to_population_ratio_15_female_pct_national_estimate"
"Employment to population ratio, 15+, male (%) (national estimate)","employment_to_population_ratio_15_male_pct_national_estimate"
"Employment to population ratio, 15+, total (%) (national estimate)","employment_to_population_ratio_15_total_pct_national_estimate"
"Employment to population ratio, ages 15-24, female (%) (national estimate)","employment_to_population_ratio_ages_15_24_female_pct_national"
"Employment to population ratio, ages 15-24, male (%) (national estimate)","employment_to_population_ratio_ages_15_24_male_pct_national_e"
"Employment to population ratio, ages 15-24, total (%) (national estimate)","employment_to_population_ratio_ages_15_24_total_pct_national_"
"GNI (constant 2015 US$)","gni_constant_2015_us"
"GNI growth (annual %)","gni_growth_annual_pct"
"GNI per capita (constant 2015 US$)","gni_per_capita_constant_2015_us"
"GNI per capita growth (annual %)","gni_per_capita_growth_annual_pct"
"Gross fixed capital formation, private sector (% of GDP)","gross_fixed_capital_formation_private_sector_pct_of_gdp"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","labor_force_participation_rate_for_ages_15_24_female_pct_nati"
"Labor force participation rate for ages 15-24, male (%) (national estimate)","labor_force_participation_rate_for_ages_15_24_male_pct_nation"
"Labor force participation rate for ages 15-24, total (%) (national estimate)","labor_force_participation_rate_for_ages_15_24_total_pct_natio"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)","labor_force_participation_rate_female_pct_of_female_populatio__1"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)","labor_force_participation_rate_male_pct_of_male_population_ag__1"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)","labor_force_participation_rate_total_pct_of_total_population___1"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","unemployment_youth_female_pct_of_female_labor_force_ages_15_2__1"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","unemployment_youth_male_pct_of_male_labor_force_ages_15_24_na"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","unemployment_youth_total_pct_of_total_labor_force_ages_15_24___1"
"Manufacturing, value added (current US$)","manufacturing_value_added_current_us"
"Gross fixed capital formation (annual % growth)","gross_fixed_capital_formation_annual_pct_growth"
"Gross fixed capital formation (constant 2015 US$)","gross_fixed_capital_formation_constant_2015_us"
"Gross value added at basic prices (GVA) (constant 2015 US$)","gross_value_added_at_basic_prices_gva_constant_2015_us"
"Gross value added at basic prices (GVA) (current US$)","gross_value_added_at_basic_prices_gva_current_us"
"Manufacturing, value added (% of GDP)","manufacturing_value_added_pct_of_gdp"
"Manufacturing, value added (annual % growth)","manufacturing_value_added_annual_pct_growth"
"Manufacturing, value added (constant 2015 US$)","manufacturing_value_added_constant_2015_us"
"Services, value added (annual % growth)","services_value_added_annual_pct_growth"
"Services, value added (constant 2015 US$)","services_value_added_constant_2015_us"
"Arable land (hectares)","arable_land_hectares"
"Average precipitation in depth (mm per year)","average_precipitation_in_depth_mm_per_year"
"Broad money (current LCU)","broad_money_current_lcu"
"Broad money growth (annual %)","broad_money_growth_annual_pct"
"Broad money to total reserves ratio","broad_money_to_total_reserves_ratio"
"Claims on central government (annual growth as % of broad money)","claims_on_central_government_annual_growth_as_pct_of_broad_mo"
"Claims on private sector (annual growth as % of broad money)","claims_on_private_sector_annual_growth_as_pct_of_broad_money"
"DEC alternative conversion factor (LCU per US$)","dec_alternative_conversion_factor_lcu_per_us"
"Exports of goods and services (current LCU)","exports_of_goods_and_services_current_lcu"
"External balance on goods and services (current LCU)","external_balance_on_goods_and_services_current_lcu"
"External balance on goods and services (current US$)","external_balance_on_goods_and_services_current_us"
"Final consumption expenditure (current LCU)","final_consumption_expenditure_current_lcu"
"GNI (current LCU)","gni_current_lcu"
"GNI per capita (current LCU)","gni_per_capita_current_lcu"
"Grants, excluding technical cooperation (BoP, current US$)","grants_excluding_technical_cooperation_bop_current_us"
"Gross capital formation (current LCU)","gross_capital_formation_current_lcu"
"Gross national expenditure (current LCU)","gross_national_expenditure_current_lcu"
"Gross value added at basic prices (GVA) (current LCU)","gross_value_added_at_basic_prices_gva_current_lcu"
"Households and NPISHs Final consumption expenditure (current LCU)","households_and_npishs_final_consumption_expenditure_current_lc"
"Imports of goods and services (current LCU)","imports_of_goods_and_services_current_lcu"
"Mortality rate, infant (per 1,000 live births)","mortality_rate_infant_per_1000_live_births"
"Mortality rate, infant, female (per 1,000 live births)","mortality_rate_infant_female_per_1000_live_births"
"Mortality rate, infant, male (per 1,000 live births)","mortality_rate_infant_male_per_1000_live_births"
"Mortality rate, under-5 (per 1,000 live births)","mortality_rate_under_5_per_1000_live_births"
"Mortality rate, under-5, female (per 1,000 live births)","mortality_rate_under_5_female_per_1000_live_births"
"Mortality rate, under-5, male (per 1,000 live births)","mortality_rate_under_5_male_per_1000_live_births"
"Net domestic credit (current LCU)","net_domestic_credit_current_lcu"
"Net foreign assets (current LCU)","net_foreign_assets_current_lcu"
"Net primary income (Net income from abroad) (current LCU)","net_primary_income_net_income_from_abroad_current_lcu"
"Net primary income (Net income from abroad) (current US$)","net_primary_income_net_income_from_abroad_current_us"
"Number of infant deaths","number_of_infant_deaths"
"Number of under-five deaths","number_of_under_five_deaths"
"Official exchange rate (LCU per US$, period average)","official_exchange_rate_lcu_per_us_period_average"
"Population in largest city","population_in_largest_city"
"Population in urban agglomerations of more than 1 million","population_in_urban_agglomerations_of_more_than_1_million"
"Taxes less subsidies on products (current LCU)","taxes_less_subsidies_on_products_current_lcu"
"Taxes less subsidies on products (current US$)","taxes_less_subsidies_on_products_current_us"
"Technical cooperation grants (BoP, current US$)","technical_cooperation_grants_bop_current_us"
"Total reserves (includes gold, current US$)","total_reserves_includes_gold_current_us"
"Total reserves minus gold (current US$)","total_reserves_minus_gold_current_us"
"Discrepancy in expenditure estimate of GDP (current LCU)","discrepancy_in_expenditure_estimate_of_gdp_current_lcu"
"Exports as a capacity to import (constant LCU)","exports_as_a_capacity_to_import_constant_lcu"
"Exports of goods and services (constant LCU)","exports_of_goods_and_services_constant_lcu"
"Final consumption expenditure (% of GDP)","final_consumption_expenditure_pct_of_gdp"
"Final consumption expenditure (constant LCU)","final_consumption_expenditure_constant_lcu"
"GDP (constant LCU)","gdp_constant_lcu"
"GDP (current LCU)","gdp_current_lcu"
"GDP deflator (base year varies by country)","gdp_deflator_base_year_varies_by_country"
"GDP per capita (constant LCU)","gdp_per_capita_constant_lcu"
"GDP per capita (current LCU)","gdp_per_capita_current_lcu"
"General government final consumption expenditure (constant LCU)","general_government_final_consumption_expenditure_constant_lcu"
"General government final consumption expenditure (current LCU)","general_government_final_consumption_expenditure_current_lcu"
"Gross domestic income (constant LCU)","gross_domestic_income_constant_lcu"
"Gross domestic savings (current LCU)","gross_domestic_savings_current_lcu"
"Gross national expenditure (% of GDP)","gross_national_expenditure_pct_of_gdp"
"Households and NPISHs Final consumption expenditure (constant LCU)","households_and_npishs_final_consumption_expenditure_constant_l"
"Imports of goods and services (constant LCU)","imports_of_goods_and_services_constant_lcu"
"Military expenditure (current LCU)","military_expenditure_current_lcu"
"Terms of trade adjustment (constant LCU)","terms_of_trade_adjustment_constant_lcu"
"Changes in inventories (constant LCU)","changes_in_inventories_constant_lcu"
