"indicator_name","table_name"
"Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise trade (% of GDP)","wdi_balance_of_payments"
"Military expenditure (current USD)","wdi_public_finance_expenditure"
"Mortality rate, adult, female (per 1,000 female adults)","wdi_fertility_mortality"
"Mortality rate, adult, male (per 1,000 male adults)","wdi_fertility_mortality"
"Net migration","wdi_migration_refugees"
"Permanent cropland (% of land area)","wdi_agriculture_land"
"Population ages 00-04, female (% of female population)","wdi_population_dynamics"
"Population ages 00-04, male (% of male population)","wdi_population_dynamics"
"Population ages 0-14 (% of total population)","wdi_population_dynamics"
"Population ages 0-14, female","wdi_population_dynamics"
"Population ages 0-14, female (% of female population)","wdi_population_dynamics"
"Population ages 0-14, male","wdi_population_dynamics"
"Population ages 0-14, male (% of male population)","wdi_population_dynamics"
"Population ages 0-14, total","wdi_population_dynamics"
"Population ages 05-09, female (% of female population)","wdi_population_dynamics"
"Population ages 05-09, male (% of male population)","wdi_population_dynamics"
"Population ages 10-14, female (% of female population)","wdi_population_dynamics"
"Population ages 10-14, male (% of male population)","wdi_population_dynamics"
"Population ages 15-19, female (% of female population)","wdi_population_dynamics"
"Population ages 15-19, male (% of male population)","wdi_population_dynamics"
"Population ages 15-64 (% of total population)","wdi_population_dynamics"
"Population ages 15-64, female","wdi_population_dynamics"
"Population ages 15-64, female (% of female population)","wdi_population_dynamics"
"Population ages 15-64, male","wdi_population_dynamics"
"Population ages 15-64, male (% of male population)","wdi_population_dynamics"
"Population ages 15-64, total","wdi_population_dynamics"
"Population ages 20-24, female (% of female population)","wdi_population_dynamics"
"Population ages 20-24, male (% of male population)","wdi_population_dynamics"
"Population ages 25-29, female (% of female population)","wdi_population_dynamics"
"Population ages 25-29, male (% of male population)","wdi_population_dynamics"
"Population ages 30-34, female (% of female population)","wdi_population_dynamics"
"Population ages 30-34, male (% of male population)","wdi_population_dynamics"
"Population ages 35-39, female (% of female population)","wdi_population_dynamics"
"Population ages 35-39, male (% of male population)","wdi_population_dynamics"
"Population ages 40-44, female (% of female population)","wdi_population_dynamics"
"Population ages 40-44, male (% of male population)","wdi_population_dynamics"
"Population ages 45-49, female (% of female population)","wdi_population_dynamics"
"Population ages 45-49, male (% of male population)","wdi_population_dynamics"
"Population ages 50-54, female (% of female population)","wdi_population_dynamics"
"Population ages 50-54, male (% of male population)","wdi_population_dynamics"
"Population ages 55-59, female (% of female population)","wdi_population_dynamics"
"Population ages 55-59, male (% of male population)","wdi_population_dynamics"
"Population ages 60-64, female (% of female population)","wdi_population_dynamics"
"Population ages 60-64, male (% of male population)","wdi_population_dynamics"
"Population ages 65 and above (% of total population)","wdi_population_dynamics"
"Population ages 65 and above, female","wdi_population_dynamics"
"Population ages 65 and above, female (% of female population)","wdi_population_dynamics"
"Population ages 65 and above, male","wdi_population_dynamics"
"Population ages 65 and above, male (% of male population)","wdi_population_dynamics"
"Population ages 65 and above, total","wdi_population_dynamics"
"Population ages 65-69, female (% of female population)","wdi_population_dynamics"
"Population ages 65-69, male (% of male population)","wdi_population_dynamics"
"Population ages 70-74, female (% of female population)","wdi_population_dynamics"
"Population ages 70-74, male (% of male population)","wdi_population_dynamics"
"Population ages 75-79, female (% of female population)","wdi_population_dynamics"
"Population ages 75-79, male (% of male population)","wdi_population_dynamics"
"Population ages 80 and above, female (% of female population)","wdi_population_dynamics"
"Population ages 80 and above, male (% of male population)","wdi_population_dynamics"
"Population density (people per sq. km of land area)","wdi_population_dynamics"
"Population growth (annual %)","wdi_population_dynamics"
"Population in the largest city (% of urban population)","wdi_population_dynamics"
"Population in urban agglomerations of more than 1 million (% of total population)","wdi_population_dynamics"
"Population, female","wdi_population_dynamics"
"Population, female (% of total population)","wdi_population_dynamics"
"Population, male","wdi_population_dynamics"
"Population, male (% of total population)","wdi_population_dynamics"
"Population, total","wdi_population_dynamics"
"Portfolio equity, net inflows (BoP, current US$)","wdi_financial_sector_markets"
"Refugees under the mandate of the UNHCR by country or territory of asylum","wdi_migration_refugees"
"Refugees under the mandate of the UNHCR by country or territory of origin","wdi_migration_refugees"
"Renewable internal freshwater resources per capita (cubic meters)","wdi_environment_resources"
"Renewable internal freshwater resources, total (billion cubic meters)","wdi_environment_resources"
"Rural population","wdi_population_dynamics"
"Rural population (% of total population)","wdi_population_dynamics"
"Rural population growth (annual %)","wdi_population_dynamics"
"Sex ratio at birth (male births per female births)","wdi_fertility_mortality"
"Surface area (sq. km)","wdi_agriculture_land"
"Survival to age 65, female (% of cohort)","wdi_fertility_mortality"
"Survival to age 65, male (% of cohort)","wdi_fertility_mortality"
"Total fisheries production (metric tons)","wdi_agriculture_production"
"Total reserves in months of imports","wdi_balance_of_payments"
"Urban population","wdi_population_dynamics"
"Urban population (% of total population)","wdi_population_dynamics"
"Urban population growth (annual %)","wdi_population_dynamics"
"Agricultural raw materials exports (% of merchandise exports)","wdi_trade_merchandise_exports"
"Agricultural raw materials imports (% of merchandise imports)","wdi_trade_merchandise_imports"
"Broad money (% of GDP)","wdi_financial_sector_stability"
"Claims on central government, etc. (% GDP)","wdi_financial_sector_stability"
"Domestic credit to private sector (% of GDP)","wdi_financial_sector_stability"
"Domestic credit to private sector by banks (% of GDP)","wdi_financial_sector_stability"
"Food exports (% of merchandise exports)","wdi_trade_merchandise_exports"
"Food imports (% of merchandise imports)","wdi_trade_merchandise_imports"
"Fuel exports (% of merchandise exports)","wdi_trade_merchandise_exports"
"Fuel imports (% of merchandise imports)","wdi_trade_merchandise_imports"
"Manufactures exports (% of merchandise exports)","wdi_trade_merchandise_exports"
"Manufactures imports (% of merchandise imports)","wdi_trade_merchandise_imports"
"Military expenditure (% of GDP)","wdi_public_finance_expenditure"
"Monetary Sector credit to private sector (% GDP)","wdi_financial_sector_stability"
"Ores and metals exports (% of merchandise exports)","wdi_trade_merchandise_exports"
"Ores and metals imports (% of merchandise imports)","wdi_trade_merchandise_imports"
"Arms exports (SIPRI trend indicator values)","wdi_public_finance_expenditure"
"Refugees under the mandate of the UNRWA by country or territory of asylum","wdi_migration_refugees"
"Refugees under the mandate of the UNRWA by country or territory of origin","wdi_migration_refugees"
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","wdi_environment_resources"
"Electricity production from coal sources (% of total)","wdi_energy_production"
"Electricity production from hydroelectric sources (% of total)","wdi_energy_production"
"Electricity production from natural gas sources (% of total)","wdi_energy_production"
"Electricity production from nuclear sources (% of total)","wdi_energy_production"
"Electricity production from oil sources (% of total)","wdi_energy_production"
"Electricity production from oil, gas and coal sources (% of total)","wdi_energy_production"
"Electricity production from renewable sources, excluding hydroelectric (% of total)","wdi_energy_production"
"Electricity production from renewable sources, excluding hydroelectric (kWh)","wdi_energy_production"
"Renewable electricity output (% of total electricity output)","wdi_energy_production"
"Agriculture, forestry, and fishing, value added (annual % growth)","wdi_economic_growth"
"Agriculture, forestry, and fishing, value added (constant 2015 US$)","wdi_gdp_national_accounts"
"Exports of goods and services (% of GDP)","wdi_balance_of_payments"
"Exports of goods and services (annual % growth)","wdi_economic_growth"
"Exports of goods and services (constant 2015 US$)","wdi_gdp_national_accounts"
"Exports of goods and services (current US$)","wdi_gdp_national_accounts"
"External balance on goods and services (% of GDP)","wdi_balance_of_payments"
"Final consumption expenditure (annual % growth)","wdi_economic_growth"
"Final consumption expenditure (constant 2015 US$)","wdi_gdp_national_accounts"
"Final consumption expenditure (current US$)","wdi_gdp_national_accounts"
"Gross capital formation (% of GDP)","wdi_gdp_national_accounts"
"Gross capital formation (annual % growth)","wdi_economic_growth"
"Gross capital formation (constant 2015 US$)","wdi_gdp_national_accounts"
"Gross capital formation (current US$)","wdi_gdp_national_accounts"
"Gross domestic savings (% of GDP)","wdi_gdp_national_accounts"
"Gross domestic savings (current US$)","wdi_gdp_national_accounts"
"Gross national expenditure (constant 2015 US$)","wdi_gdp_national_accounts"
"Gross national expenditure (current US$)","wdi_gdp_national_accounts"
"Households and NPISHs final consumption expenditure (% of GDP)","wdi_gdp_national_accounts"
"Households and NPISHs Final consumption expenditure (annual % growth)","wdi_economic_growth"
"Households and NPISHs Final consumption expenditure (constant 2015 US$)","wdi_gdp_national_accounts"
"Households and NPISHs Final consumption expenditure (current US$)","wdi_gdp_national_accounts"
"Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","wdi_gdp_per_capita"
"Households and NPISHs Final consumption expenditure per capita growth (annual %)","wdi_economic_growth"
"Imports of goods and services (% of GDP)","wdi_balance_of_payments"
"Imports of goods and services (annual % growth)","wdi_economic_growth"
"Imports of goods and services (constant 2015 US$)","wdi_gdp_national_accounts"
"Imports of goods and services (current US$)","wdi_gdp_national_accounts"
"Trade (% of GDP)","wdi_balance_of_payments"
"Agriculture, forestry, and fishing, value added (% of GDP)","wdi_gdp_national_accounts"
"Agriculture, forestry, and fishing, value added (current US$)","wdi_gdp_national_accounts"
"Gross fixed capital formation (% of GDP)","wdi_gdp_national_accounts"
"Gross fixed capital formation (current US$)","wdi_gdp_national_accounts"
"Industry (including construction), value added (% of GDP)","wdi_gdp_national_accounts"
"Industry (including construction), value added (annual % growth)","wdi_economic_growth"
"Industry (including construction), value added (constant 2015 US$)","wdi_gdp_national_accounts"
"Industry (including construction), value added (current US$)","wdi_gdp_national_accounts"
"Net bilateral aid flows from DAC donors, Austria (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Belgium (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Canada (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Denmark (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, France (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Germany (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Iceland (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Italy (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Japan (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Netherlands (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Norway (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Sweden (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Switzerland (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, Total (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, United States (current US$)","wdi_public_debt"
"Net ODA received (% of GNI)","wdi_public_debt"
"Net ODA received (% of gross capital formation)","wdi_public_debt"
"Net ODA received per capita (current US$)","wdi_public_debt"
"Net official development assistance and official aid received (constant 2021 US$)","wdi_public_debt"
"Net official development assistance and official aid received (current US$)","wdi_public_debt"
"Net official development assistance received (constant 2021 US$)","wdi_public_debt"
"Net official development assistance received (current US$)","wdi_public_debt"
"Services, value added (% of GDP)","wdi_gdp_national_accounts"
"Services, value added (current US$)","wdi_gdp_national_accounts"
"Electric power consumption (kWh per capita)","wdi_energy_consumption"
"Energy use (kg of oil equivalent per capita)","wdi_energy_consumption"
"Inflation, consumer prices (annual %)","wdi_inflation_prices"
"General government final consumption expenditure (annual % growth)","wdi_economic_growth"
"General government final consumption expenditure (constant 2015 US$)","wdi_gdp_national_accounts"
"Domestic credit provided by financial sector (% of GDP)","wdi_financial_sector_stability"
"Employment to population ratio, 15+, female (%) (national estimate)","wdi_employment_by_sector"
"Employment to population ratio, 15+, male (%) (national estimate)","wdi_employment_by_sector"
"Employment to population ratio, 15+, total (%) (national estimate)","wdi_employment_by_sector"
"Employment to population ratio, ages 15-24, female (%) (national estimate)","wdi_employment_by_sector"
"Employment to population ratio, ages 15-24, male (%) (national estimate)","wdi_employment_by_sector"
"Employment to population ratio, ages 15-24, total (%) (national estimate)","wdi_employment_by_sector"
"GNI (constant 2015 US$)","wdi_gdp_national_accounts"
"GNI growth (annual %)","wdi_economic_growth"
"GNI per capita (constant 2015 US$)","wdi_gdp_per_capita"
"GNI per capita growth (annual %)","wdi_economic_growth"
"Gross fixed capital formation, private sector (% of GDP)","wdi_gdp_national_accounts"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","wdi_labor_force_participation"
"Labor force participation rate for ages 15-24, male (%) (national estimate)","wdi_labor_force_participation"
"Labor force participation rate for ages 15-24, total (%) (national estimate)","wdi_labor_force_participation"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)","wdi_labor_force_participation"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)","wdi_labor_force_participation"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)","wdi_labor_force_participation"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","wdi_unemployment_youth"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","wdi_unemployment_youth"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","wdi_unemployment_youth"
"Manufacturing, value added (current US$)","wdi_gdp_national_accounts"
"Gross fixed capital formation (annual % growth)","wdi_economic_growth"
"Gross fixed capital formation (constant 2015 US$)","wdi_gdp_national_accounts"
"Gross value added at basic prices (GVA) (constant 2015 US$)","wdi_gdp_national_accounts"
"Gross value added at basic prices (GVA) (current US$)","wdi_gdp_national_accounts"
"Manufacturing, value added (% of GDP)","wdi_gdp_national_accounts"
"Manufacturing, value added (annual % growth)","wdi_economic_growth"
"Manufacturing, value added (constant 2015 US$)","wdi_gdp_national_accounts"
"Services, value added (annual % growth)","wdi_economic_growth"
"Services, value added (constant 2015 US$)","wdi_gdp_national_accounts"
"Arable land (hectares)","wdi_agriculture_land"
"Average precipitation in depth (mm per year)","wdi_environment_resources"
"Broad money (current LCU)","wdi_financial_sector_stability"
"Broad money growth (annual %)","wdi_financial_sector_stability"
"Broad money to total reserves ratio","wdi_financial_sector_stability"
"Claims on central government (annual growth as % of broad money)","wdi_financial_sector_stability"
"Claims on private sector (annual growth as % of broad money)","wdi_financial_sector_stability"
"DEC alternative conversion factor (LCU per US$)","wdi_inflation_prices"
"Exports of goods and services (current LCU)","wdi_balance_of_payments"
"External balance on goods and services (current LCU)","wdi_balance_of_payments"
"External balance on goods and services (current US$)","wdi_balance_of_payments"
"Final consumption expenditure (current LCU)","wdi_gdp_national_accounts"
"GNI (current LCU)","wdi_gdp_national_accounts"
"GNI per capita (current LCU)","wdi_gdp_per_capita"
"Grants, excluding technical cooperation (BoP, current US$)","wdi_public_debt"
"Gross capital formation (current LCU)","wdi_gdp_national_accounts"
"Gross national expenditure (current LCU)","wdi_gdp_national_accounts"
"Gross value added at basic prices (GVA) (current LCU)","wdi_gdp_national_accounts"
"Households and NPISHs Final consumption expenditure (current LCU)","wdi_gdp_national_accounts"
"Imports of goods and services (current LCU)","wdi_balance_of_payments"
"Mortality rate, infant (per 1,000 live births)","wdi_fertility_mortality"
"Mortality rate, infant, female (per 1,000 live births)","wdi_fertility_mortality"
"Mortality rate, infant, male (per 1,000 live births)","wdi_fertility_mortality"
"Mortality rate, under-5 (per 1,000 live births)","wdi_fertility_mortality"
"Mortality rate, under-5, female (per 1,000 live births)","wdi_fertility_mortality"
"Mortality rate, under-5, male (per 1,000 live births)","wdi_fertility_mortality"
"Net domestic credit (current LCU)","wdi_financial_sector_stability"
"Net foreign assets (current LCU)","wdi_financial_sector_stability"
"Net primary income (Net income from abroad) (current LCU)","wdi_balance_of_payments"
"Net primary income (Net income from abroad) (current US$)","wdi_balance_of_payments"
"Number of infant deaths","wdi_fertility_mortality"
"Number of under-five deaths","wdi_fertility_mortality"
"Official exchange rate (LCU per US$, period average)","wdi_inflation_prices"
"Population in largest city","wdi_population_dynamics"
"Population in urban agglomerations of more than 1 million","wdi_population_dynamics"
"Taxes less subsidies on products (current LCU)","wdi_public_finance_revenue"
"Taxes less subsidies on products (current US$)","wdi_public_finance_revenue"
"Technical cooperation grants (BoP, current US$)","wdi_public_debt"
"Total reserves (includes gold, current US$)","wdi_balance_of_payments"
"Total reserves minus gold (current US$)","wdi_balance_of_payments"
"Discrepancy in expenditure estimate of GDP (current LCU)","wdi_gdp_national_accounts"
"Exports as a capacity to import (constant LCU)","wdi_trade_merchandise_exports"
"Exports of goods and services (constant LCU)","wdi_balance_of_payments"
"Final consumption expenditure (% of GDP)","wdi_gdp_national_accounts"
"Final consumption expenditure (constant LCU)","wdi_gdp_national_accounts"
"GDP (constant LCU)","wdi_gdp_national_accounts"
"GDP (current LCU)","wdi_gdp_national_accounts"
"GDP deflator (base year varies by country)","wdi_inflation_prices"
"GDP per capita (constant LCU)","wdi_gdp_per_capita"
"GDP per capita (current LCU)","wdi_gdp_per_capita"
"General government final consumption expenditure (constant LCU)","wdi_gdp_national_accounts"
"General government final consumption expenditure (current LCU)","wdi_gdp_national_accounts"
"Gross domestic income (constant LCU)","wdi_gdp_national_accounts"
"Gross domestic savings (current LCU)","wdi_gdp_national_accounts"
"Gross national expenditure (% of GDP)","wdi_gdp_national_accounts"
"Households and NPISHs Final consumption expenditure (constant LCU)","wdi_gdp_national_accounts"
"Imports of goods and services (constant LCU)","wdi_balance_of_payments"
"Military expenditure (current LCU)","wdi_public_finance_expenditure"
"Terms of trade adjustment (constant LCU)","wdi_balance_of_payments"
"Changes in inventories (constant LCU)","wdi_gdp_national_accounts"
"Changes in inventories (current LCU)","wdi_gdp_national_accounts"
"Changes in inventories (current US$)","wdi_gdp_national_accounts"
"GNI (constant LCU)","wdi_gdp_national_accounts"
"GNI per capita (constant LCU)","wdi_gdp_per_capita"
"Gross capital formation (constant LCU)","wdi_gdp_national_accounts"
"Gross fixed capital formation (constant LCU)","wdi_gdp_national_accounts"
"Gross fixed capital formation (current LCU)","wdi_gdp_national_accounts"
"Gross national expenditure (constant LCU)","wdi_gdp_national_accounts"
"Gross national expenditure deflator (base year varies by country)","wdi_inflation_prices"
"Chemicals (% of value added in manufacturing)","wdi_gdp_national_accounts"
"Consumer price index (2010 = 100)","wdi_inflation_prices"
"Food, beverages and tobacco (% of value added in manufacturing)","wdi_gdp_national_accounts"
"Gross fixed capital formation, private sector (current LCU)","wdi_gdp_national_accounts"
"Hospital beds (per 1,000 people)","wdi_health_services"
"Lending interest rate (%)","wdi_financial_sector_stability"
"Machinery and transport equipment (% of value added in manufacturing)","wdi_gdp_national_accounts"
"Net ODA provided, total (% of GNI)","wdi_public_debt"
"Net ODA provided, total (constant 2021 US$)","wdi_public_debt"
"Net ODA provided, total (current US$)","wdi_public_debt"
"Net secondary income (Net current transfers from abroad) (current LCU)","wdi_balance_of_payments"
"Net secondary income (Net current transfers from abroad) (current US$)","wdi_balance_of_payments"
"Other manufacturing (% of value added in manufacturing)","wdi_gdp_national_accounts"
"Real interest rate (%)","wdi_financial_sector_stability"
"Textiles and clothing (% of value added in manufacturing)","wdi_gdp_national_accounts"
"Mortality rate, neonatal (per 1,000 live births)","wdi_fertility_mortality"
"Net ODA provided to the least developed countries (% of GNI)","wdi_public_debt"
"Net ODA provided, to the least developed countries (current US$)","wdi_public_debt"
"Net secondary income (Net current transfers from abroad) (constant LCU)","wdi_balance_of_payments"
"Number of neonatal deaths","wdi_fertility_mortality"
"Physicians (per 1,000 people)","wdi_health_services"
"Ratio of female to male labor force participation rate (%) (national estimate)","wdi_gender_women_empowerment"
"Agriculture, forestry, and fishing, value added (constant LCU)","wdi_gdp_national_accounts"
"Agriculture, forestry, and fishing, value added (current LCU)","wdi_gdp_national_accounts"
"Gross value added at basic prices (GVA) (constant LCU)","wdi_gdp_national_accounts"
"Industry (including construction), value added (constant LCU)","wdi_gdp_national_accounts"
"Industry (including construction), value added (current LCU)","wdi_gdp_national_accounts"
"Manufacturing, value added (constant LCU)","wdi_gdp_national_accounts"
"Manufacturing, value added (current LCU)","wdi_gdp_national_accounts"
"Services, value added (constant LCU)","wdi_gdp_national_accounts"
"Services, value added (current LCU)","wdi_gdp_national_accounts"
"Annual freshwater withdrawals, total (% of internal resources)","wdi_environment_resources"
"Annual freshwater withdrawals, total (billion cubic meters)","wdi_environment_resources"
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","wdi_environment_resources"
"Wholesale price index (2010 = 100)","wdi_inflation_prices"
"Taxes less subsidies on products (constant LCU)","wdi_public_finance_revenue"
"Commercial service exports (current US$)","wdi_trade_services"
"Commercial service imports (current US$)","wdi_trade_services"
"Communications, computer, etc. (% of service exports, BoP)","wdi_trade_services"
"Communications, computer, etc. (% of service imports, BoP)","wdi_trade_services"
"Computer, communications and other services (% of commercial service exports)","wdi_trade_services"
"Computer, communications and other services (% of commercial service imports)","wdi_trade_services"
"Current account balance (% of GDP)","wdi_balance_of_payments"
"Current account balance (BoP, current US$)","wdi_balance_of_payments"
"Discrepancy in expenditure estimate of GDP (constant LCU)","wdi_gdp_national_accounts"
"Exports of goods and services (BoP, current US$)","wdi_balance_of_payments"
"Exports of goods, services and primary income (BoP, current US$)","wdi_balance_of_payments"
"External balance on goods and services (constant LCU)","wdi_balance_of_payments"
"Foreign direct investment, net (BoP, current US$)","wdi_balance_of_payments"
"Goods exports (BoP, current US$)","wdi_trade_merchandise_exports"
"Goods imports (BoP, current US$)","wdi_trade_merchandise_imports"
"Gross savings (% of GDP)","wdi_gdp_national_accounts"
"Gross savings (% of GNI)","wdi_gdp_national_accounts"
"Gross savings (current LCU)","wdi_gdp_national_accounts"
"Gross savings (current US$)","wdi_gdp_national_accounts"
"Imports of goods and services (BoP, current US$)","wdi_balance_of_payments"
"Imports of goods, services and primary income (BoP, current US$)","wdi_balance_of_payments"
"Net capital account (BoP, current US$)","wdi_balance_of_payments"
"Net errors and omissions (BoP, current US$)","wdi_balance_of_payments"
"Net financial account (BoP, current US$)","wdi_balance_of_payments"
"Net primary income (BoP, current US$)","wdi_balance_of_payments"
"Net secondary income (BoP, current US$)","wdi_balance_of_payments"
"Net trade in goods (BoP, current US$)","wdi_balance_of_payments"
"Net trade in goods and services (BoP, current US$)","wdi_balance_of_payments"
"Portfolio investment, net (BoP, current US$)","wdi_financial_sector_markets"
"Primary income payments (BoP, current US$)","wdi_balance_of_payments"
"Primary income receipts (BoP, current US$)","wdi_balance_of_payments"
"Reserves and related items (BoP, current US$)","wdi_balance_of_payments"
"Risk premium on lending (lending rate minus treasury bill rate, %)","wdi_financial_sector_stability"
"Secondary income receipts (BoP, current US$)","wdi_balance_of_payments"
"Secondary income, other sectors, payments (BoP, current US$)","wdi_balance_of_payments"
"Service exports (BoP, current US$)","wdi_trade_services"
"Service imports (BoP, current US$)","wdi_trade_services"
"Trade in services (% of GDP)","wdi_trade_services"
"Transport services (% of commercial service exports)","wdi_trade_services"
"Transport services (% of commercial service imports)","wdi_trade_services"
